session,category,id,question,options,answer,explanation
"2025年（令和7年）4月公表分","エックス線の管理に関する知識","問1","工業用エックス線装置のエックス線管及びエックス線の発生に関する次の記述のうち、正しいものはどれか。","（１）エックス線管の管電流は、陰極から陽極に向かって流れる。|（２）陰極のフィラメント端子間の電圧は、フィラメント加熱用の降圧変圧器を用いて 10～20V 程度にされている。|（３）陽極のターゲットにタングステンが多く用いられる主な理由は、熱伝導率が高く、加工しやすいことである。|（４）陽極のターゲット上のエックス線が発生する部分を実効焦点といい、これをエックス線束の利用方向から見たものを実焦点という。|（５）陽極のターゲットに衝突する直前の電子の運動エネルギーは、管電圧の 2 乗に比例する。","（２）","正解は（２）。フィラメント電圧10-20VはFSEの点検基本値です。【補足】（１）電流は陽極から陰極へ流れる（電子と逆）。（３）タングステンは高融点・高原子番号が理由。熱伝導率は銅の方が高い。（４）物理面積が実焦点、利用方向から見たのが実効焦点。（５）運動エネルギーE=eVで管電圧に比例します。"
"2025年（令和7年）4月公表分","エックス線の管理に関する知識","問2","特性エックス線に関する次の記述のうち、正しいものはどれか。","（１）特性エックス線の波長は、ターゲット元素の原子番号が大きくなると長くなる。|（２）特性エックス線は、連続スペクトルを示す。|（３）管電圧が、K 系列の特性エックス線を発生させるのに必要な最小値であるＫ励起電圧を下回るときは、他の系列の特性エックス線も発生することはない。|（４）K 殻電子が電離されたことによって特性エックス線が発生することをオージェ効果という。|（５）K 系列の特性エックス線は、エックス線管の管電圧を上げると強度が増大するが、その波長は変わらない。","（５）","正解は（５）。特性X線の波長はターゲット元素固有で管電圧に依存しません。強度は増えますが波長は不変です。【補足】（１）原子番号Zが大きいほどエネルギーが高くなり波長は短くなります。（２）線スペクトルです。（３）K励起以下でもL系列などは発生します。（４）オージェ効果は特性X線が出ずに電子が放出される現象です。"
"2025年（令和7年）4月公表分","エックス線の管理に関する知識","問3","エックス線装置について、発生する連続エックス線の全強度を大きくするものの全ての組合せはどれか。A 管電流は一定にして、管電圧を 2 倍にする。 B 管電圧は 1/2 にして、管電流を 2 倍にする。 C 管電圧は 2 倍にして、管電流を 1/2 にする。 D ターゲットを原子番号のより大きな元素にする。","（１）A，B|（２）A，C，D|（３）A，D|（４）B，C|（５）B，C，D","（２）","正解は（２）。全強度Iは $I \propto iZV^2$（i:管電流, Z:原子番号, V:管電圧）で表されます。Vの2乗が支配的なため、CのようにVが2倍・iが半分でも強度は増します（$2^2 \times 0.5 = 2$倍）。また原子番号Zが大きいほど強度は増すためDも正解です。"
"2025年（令和7年）4月公表分","エックス線の管理に関する知識","問4","エックス線の散乱（後方散乱・前方散乱）に関する比較として正しい組合せはどれか。","（１）鋼板／120度／60度|（２）鋼板／135度／30度|（３）鋼板／135度／60度|（４）アルミニウム板／120度／60度|（５）アルミニウム板／135度／30度","（５）","正解は（５）。散乱線量は被照射体の原子番号Zが小さいほど大きくなるためアルミニウム板(A)が上。後方散乱は散乱角が大きい135度(B)の方が大きく、前方散乱は散乱角が小さい30度(C)の方が大きくなります。FSEとして防護壁の設計や立ち位置を考える際の基本知識です。"
"2025年（令和7年）4月公表分","エックス線の管理に関する知識","問5","単一エネルギーで太い線束のエックス線が物質を透過するときの減弱及び再生係数（ビルドアップ係数）に関する記述で誤っているものはどれか。","（１）再生係数は、1 未満となることはない。|（２）再生係数は、線束の広がりが大きいほど大きくなる。|（３）再生係数は、入射エックス線のエネルギーや物質の種類によって異なる。|（４）再生係数は、物質の厚さが厚くなるほど大きくなる。|（５）再生係数は、入射エックス線の線量率が高くなるほど小さくなる。","（５）","正解は（５）。ビルドアップ係数Bは幾何学的条件（厚さ、広がり、エネルギー、物質）で決まり、線量率（強さ）には依存しません。B≧1であり、散乱線が混じる「太い線束」の計算に必須です。FSEとして厚い遮蔽体の漏洩計算をする際に考慮する概念です。"
"2025年（令和7年）4月公表分","エックス線の管理に関する知識","問6","エックス線と物質との相互作用に関する次の記述のうち、正しいものはどれか。","（１）コンプトン効果とは、内殻電子がエネルギーを吸収して飛び出し、入射X線が散乱される現象。|（２）コンプトン効果は、必ず特性エックス線の発生を伴う。|（３）光電効果が起こる確率は、物質の原子番号が大きくなると増大する。|（４）光電効果により、入射エックス線に等しい運動エネルギーを持つ電子が放出される。|（５）電子対生成は、入射エネルギーが電子1個の静止質量相当以上で生じる。","（３）","正解は（３）。光電効果の確率は $Z^3$ に比例して激増します。診断用画像のコントラストが骨（Z大）と軟部組織でつく理由です。【補足】（１）コンプトンは外殻電子。（４）放出電子エネルギーは入射エネルギーから結合エネルギーを引いた値。（５）電子対生成は電子2個分（1.02MeV）以上で発生します。"
"2025年（令和7年）4月公表分","エックス線の管理に関する知識","問7","単一エネルギーの細いエックス線束が物体を透過するときの減弱に関する正しい記述はどれか。","（１）半価層はエネルギーが高くなると小さくなる。|（２）軟エックス線は硬エックス線より半価層が厚い。|（３）鉄の半価層は鉛の半価層より小さい。|（４）半価層hは減弱係数μに反比例する。|（５）半価層の10倍の厚さでは強度は20分の1になる。","（４）","正解は（４）。$h = 0.693 / \mu$ なので反比例します。【補足】（１）エネルギーが高いほど透過力が上がり、半価層は「大きく（厚く）」なります。（２）軟X線は透過力が低いので半価層は薄いです。（３）密度と原子番号が高い鉛の方が半価層は薄いです。（５）10倍の厚さは $1/2^{10} = 1/1024$ です。"
"2025年（令和7年）4月公表分","エックス線の管理に関する知識","問8","ろ過板に関する記述の正しい組合せはどれか。","（１）硬／長い／エックス線回折装置|（２）硬／短い／蛍光エックス線分析装置|（３）軟／長い／蛍光エックス線分析装置|（４）軟／長い／エックス線CＴ装置|（５）軟／短い／エックス線回折装置","（３）","正解は（３）。ろ過板は「軟（低エネルギー・長波長）」X線を取り除き、被ばく軽減と線質の硬化を図ります。ただし、軟X線そのものを分析に使う「蛍光X線分析装置」等ではろ過板を使用しません。CEとしてCTのボウタイフィルタの役割をイメージすると理解が早いです。"
"2025年（令和7年）4月公表分","エックス線の管理に関する知識","問9","焦点から3mで0.2mSv/h。110秒/枚、400枚/週、13週。管理区域境界(1.3mSv/3月)にするための最短距離Qは。","（１）10m|（２）12m|（３）15m|（４）20m|（５）25m","（３）","正解は（３）。3ヶ月の総線量 = $0.2 \times (110/3600) \times 400 \times 13 \approx 31.78mSv$。境界の制限1.3mSvと比較すると約24.4倍。距離の逆二乗の法則より、$D^2 = 3^2 \times 24.4 \approx 220$。 $D = \sqrt{220} \approx 14.8m$。よって最も近いのは15m。FSEの漏洩線量評価の典型的な計算です。"
"2025年（令和7年）4月公表分","エックス線の管理に関する知識","問10","1mで16mSv/min。鋼板8mmで4mSv/min。Al40mmで4mSv/min。鋼板14mm＋Al30mm重ねた後の線量率は。","（１）0.1mSv/min|（２）0.5mSv/min|（３）1.0mSv/min|（４）1.5mSv/min|（５）2.0mSv/min","（２）","正解は（２）。16→4は1/4なので、各板の厚さは2半価層分。鋼板4mm=1HVL、Al20mm=1HVLとわかります。重ねた板は 鋼板14mm(3.5HVL) + Al30mm(1.5HVL) = 合計5HVL分。強度は $1/2^5 = 1/32$ になるので、$16 \times 1/32 = 0.5$。CE国試の放射線物理でも出る「半価層の足し算」問題です。"
